#,No.,Name,Laps,Lead,Lap Tm,Spd,Elapsed Tm,Passing Tm,Hits,Strength,Noise,Photocell Time,Transponder,Backup Tx,Backup Passing Tm,Class
1,,Green Flag,,,,,0,10:01:56.779,,,,,,,,
166,12,Nici Walde 12,14,14,2:48.496,"53,4",41:12.895,10:43:09.674,48,127,24,,RS-39204,0,,F
167,28,Ymte Sijbrandij 28,14,14,2:49.292,"53,2",41:16.048,10:43:12.827,43,147,26,,FL-59825,0,,M
168,1,Christian Winkgen 1,13,14,3:14.428,"46,3",41:16.893,10:43:13.672,36,159,26,,FR-20127,0,,M
169,7,Swannette Tempelman 7,12,14,3:29.841,"42,9",41:25.400,10:43:22.179,53,172,25,,HL-85304,0,,F
170,35,Maarten Sijbrandij 35,11,14,3:58.960,"37,7",41:27.281,10:43:24.060,52,187,25,,FX-12737,0,,M
171,41,Hanno Habighorst 41,14,14,3:04.047,"48,9",42:03.249,10:44:00.028,45,104,26,,FL-67553,0,,M
172,4,Jan van Steeg 4,11,14,3:57.929,"37,8",42:31.377,10:44:28.156,49,148,26,,RG-75621,0,,M
173,40,Alexander Kamminga 40,11,14,3:58.598,"37,7",42:32.033,10:44:28.812,50,148,26,,SW-51561,0,,M
174,13,Daniel Fenn 13,11,14,2:51.351,"52,5",42:40.619,10:44:37.398,45,166,26,,RS-44911,0,,M
175,30,Bo Gustavsson 30,14,14,3:06.993,"48,1",43:14.271,10:45:11.050,52,120,26,,CK-85561,0,,M
176,12,Nici Walde 12,15,15,2:49.924,53,44:02.819,10:45:59.598,46,126,30,,RS-39204,0,,F
177,28,Ymte Sijbrandij 28,15,15,2:49.596,"53,1",44:05.644,10:46:02.423,44,149,27,,FL-59825,0,,M
178,24,Peter Coppens 24,14,15,3:10.248,"47,3",44:11.732,10:46:08.511,42,125,26,,FL-79890,0,,M
179,6,Bernhard Böhler 6,14,15,3:07.893,"47,9",44:13.303,10:46:10.082,38,213,26,,TH-71610,0,,M
180,2,Jan Kranczoch 2,11,15,3:56.843,38,44:15.270,10:46:12.049,52,155,26,,RF-87962,0,,M
181,1,Christian Winkgen 1,14,15,3:14.429,"46,3",44:31.322,10:46:28.101,30,160,25,,FR-20127,0,,M
182,7,Swannette Tempelman 7,13,15,3:35.357,"41,8",45:00.757,10:46:57.536,55,171,26,,HL-85304,0,,F
183,41,Hanno Habighorst 41,15,15,3:01.148,"49,7",45:04.397,10:47:01.176,52,105,26,,FL-67553,0,,M
184,35,Maarten Sijbrandij 35,12,15,3:56.421,"38,1",45:23.702,10:47:20.481,50,186,26,,FX-12737,0,,M
185,13,Daniel Fenn 13,12,15,2:49.613,"53,1",45:30.232,10:47:27.011,45,164,26,,RS-44911,0,,M
186,30,Bo Gustavsson 30,15,15,3:04.532,"48,8",46:18.803,10:48:15.582,55,121,27,,CK-85561,0,,M
187,4,Jan van Steeg 4,12,15,3:57.698,"37,9",46:29.075,10:48:25.854,47,145,25,,RG-75621,0,,M
188,40,Alexander Kamminga 40,12,15,3:57.060,38,46:29.093,10:48:25.872,47,149,25,,SW-51561,0,,M
189,12,Nici Walde 12,16,16,2:48.656,"53,4",46:51.475,10:48:48.254,49,127,25,,RS-39204,0,,F
190,28,Ymte Sijbrandij 28,16,16,2:48.771,"53,3",46:54.415,10:48:51.194,42,145,24,,FL-59825,0,,M
191,24,Peter Coppens 24,15,16,3:07.370,48,47:19.102,10:49:15.881,43,126,26,,FL-79890,0,,M
192,6,Bernhard Böhler 6,15,16,3:06.866,"48,2",47:20.169,10:49:16.948,39,215,26,,TH-71610,0,,M
193,1,Christian Winkgen 1,15,16,3:24.253,"44,1",47:55.575,10:49:52.354,33,161,28,,FR-20127,0,,M
194,41,Hanno Habighorst 41,16,16,3:03.334,"49,1",48:07.731,10:50:04.510,48,104,26,,FL-67553,0,,M
195,2,Jan Kranczoch 2,12,16,4:01.100,"37,3",48:16.370,10:50:13.149,53,154,26,,RF-87962,0,,M
196,13,Daniel Fenn 13,13,16,2:49.541,"53,1",48:19.773,10:50:16.552,47,164,26,,RS-44911,0,,M
197,7,Swannette Tempelman 7,14,16,3:42.743,"40,4",48:43.500,10:50:40.279,55,172,28,,HL-85304,0,,F
198,35,Maarten Sijbrandij 35,13,16,3:57.158,"37,9",49:20.860,10:51:17.639,52,187,24,,FX-12737,0,,M
199,30,Bo Gustavsson 30,16,16,3:05.494,"48,5",49:24.297,10:51:21.076,57,121,25,,CK-85561,0,,M
200,12,Nici Walde 12,17,17,2:50.611,"52,8",49:42.086,10:51:38.865,48,125,24,,RS-39204,0,,F
201,28,Ymte Sijbrandij 28,17,17,2:49.738,53,49:44.153,10:51:40.932,43,147,26,,FL-59825,0,,M
202,24,Peter Coppens 24,16,17,3:06.744,"48,2",50:25.846,10:52:22.625,45,126,26,,FL-79890,0,,M
203,6,Bernhard Böhler 6,16,17,3:07.590,48,50:27.759,10:52:24.538,40,219,26,,TH-71610,0,,M
204,41,Hanno Habighorst 41,17,17,2:55.638,"51,2",51:03.369,10:53:00.148,53,104,27,,FL-67553,0,,M
205,13,Daniel Fenn 13,14,17,2:47.427,"53,8",51:07.200,10:53:03.979,44,165,29,,RS-44911,0,,M
206,1,Christian Winkgen 1,16,17,3:14.682,"46,2",51:10.257,10:53:07.036,31,160,25,,FR-20127,0,,M
207,40,Alexander Kamminga 40,13,17,4:42.384,"31,9",51:11.477,10:53:08.256,50,133,25,,SW-51561,0,,M
208,2,Jan Kranczoch 2,13,17,4:02.179,"37,2",52:18.549,10:54:15.328,51,154,29,,RF-87962,0,,M
209,4,Jan van Steeg 4,13,17,5:50.423,"25,7",52:19.498,10:54:16.277,50,146,29,,RG-75621,0,,M
210,7,Swannette Tempelman 7,15,17,3:42.917,"40,4",52:26.417,10:54:23.196,55,171,28,,HL-85304,0,,F
211,30,Bo Gustavsson 30,17,17,3:03.205,"49,1",52:27.502,10:54:24.281,49,122,28,,CK-85561,0,,M
212,12,Nici Walde 12,18,18,2:48.426,"53,4",52:30.512,10:54:27.291,50,125,28,,RS-39204,0,,F
213,28,Ymte Sijbrandij 28,18,18,2:50.057,"52,9",52:34.210,10:54:30.989,41,146,27,,FL-59825,0,,M
214,35,Maarten Sijbrandij 35,14,18,3:55.261,"38,3",53:16.121,10:55:12.900,51,205,27,,FX-12737,0,,M
215,24,Peter Coppens 24,17,18,3:08.936,"47,6",53:34.782,10:55:31.561,47,126,25,,FL-79890,0,,M
216,6,Bernhard Böhler 6,17,18,3:08.188,"47,8",53:35.947,10:55:32.726,37,219,25,,TH-71610,0,,M
